开奖时间	期号	佰	拾	个	开奖号码	总和	大小	单双	龙虎和	番	番数值
2025-12-12 05:56:30	3370745	2	3	2	2,3,2	7	小	单	和	3番	3
2025-12-12 06:00:00	3370746	3	0	1	3,0,1	4	小	双	龙	4番	4
2025-12-12 06:03:30	3370747	5	0	4	5,0,4	9	小	单	龙	1番	1
2025-12-12 06:07:00	3370748	6	6	4	6,6,4	16	大	双	龙	4番	4
2025-12-12 06:10:30	3370749	8	9	4	8,9,4	21	大	单	龙	1番	1
2025-12-12 06:14:00	3370750	1	5	0	1,5,0	6	小	双	龙	2番	2
2025-12-12 06:17:30	3370751	8	7	9	8,7,9	24	大	双	虎	4番	4
2025-12-12 06:21:00	3370752	9	5	2	9,5,2	16	大	双	龙	4番	4
2025-12-12 06:24:30	3370753	6	9	3	6,9,3	18	大	双	龙	2番	2
2025-12-12 06:28:00	3370754	8	9	5	8,9,5	22	大	双	龙	2番	2
2025-12-12 06:31:30	3370755	5	0	7	5,0,7	12	小	双	虎	4番	4
2025-12-12 06:35:00	3370756	7	1	4	7,1,4	12	小	双	龙	4番	4
2025-12-12 06:38:30	3370757	2	4	6	2,4,6	12	小	双	虎	4番	4
2025-12-12 06:42:00	3370758	3	4	6	3,4,6	13	小	单	虎	1番	1
2025-12-12 06:45:30	3370759	8	8	2	8,8,2	18	大	双	龙	2番	2
2025-12-12 06:49:00	3370760	6	2	1	6,2,1	9	小	单	龙	1番	1
2025-12-12 06:52:30	3370761	2	2	3	2,2,3	7	小	单	虎	3番	3
2025-12-12 06:56:00	3370762	5	6	5	5,6,5	16	大	双	和	4番	4
2025-12-12 06:59:30	3370763	3	4	5	3,4,5	12	小	双	虎	4番	4
2025-12-12 07:03:00	3370764	6	1	9	6,1,9	16	大	双	虎	4番	4
2025-12-12 07:06:30	3370765	5	0	7	5,0,7	12	小	双	虎	4番	4
2025-12-12 07:10:00	3370766	0	1	1	0,1,1	2	小	双	虎	2番	2
2025-12-12 07:13:30	3370767	2	0	3	2,0,3	5	小	单	虎	1番	1
2025-12-12 07:17:00	3370768	2	8	1	2,8,1	11	小	单	龙	3番	3
2025-12-12 07:20:30	3370769	8	2	5	8,2,5	15	大	单	龙	3番	3
2025-12-12 07:24:00	3370770	9	3	7	9,3,7	19	大	单	龙	3番	3
2025-12-12 07:27:30	3370771	9	5	5	9,5,5	19	大	单	龙	3番	3
2025-12-12 07:31:00	3370772	7	2	6	7,2,6	15	大	单	龙	3番	3
2025-12-12 07:34:30	3370773	1	0	7	1,0,7	8	小	双	虎	4番	4
2025-12-12 07:38:00	3370774	4	8	3	4,8,3	15	大	单	龙	3番	3
2025-12-12 07:41:30	3370775	9	8	0	9,8,0	17	大	单	龙	1番	1
2025-12-12 07:45:00	3370776	0	7	0	0,7,0	7	小	单	和	3番	3
2025-12-12 07:48:30	3370777	9	2	4	9,2,4	15	大	单	龙	3番	3
2025-12-12 07:52:00	3370778	7	3	5	7,3,5	15	大	单	龙	3番	3
2025-12-12 07:55:30	3370779	3	2	8	3,2,8	13	小	单	虎	1番	1
2025-12-12 07:59:00	3370780	4	0	8	4,0,8	12	小	双	虎	4番	4
2025-12-12 08:02:30	3370781	8	0	2	8,0,2	10	小	双	龙	2番	2
2025-12-12 08:06:00	3370782	0	1	4	0,1,4	5	小	单	虎	1番	1
2025-12-12 08:09:30	3370783	6	0	2	6,0,2	8	小	双	龙	4番	4
2025-12-12 08:13:00	3370784	0	2	4	0,2,4	6	小	双	虎	2番	2
2025-12-12 08:16:30	3370785	5	0	9	5,0,9	14	大	双	虎	2番	2
2025-12-12 08:20:00	3370786	4	2	5	4,2,5	11	小	单	虎	3番	3
2025-12-12 08:23:30	3370787	9	4	2	9,4,2	15	大	单	龙	3番	3
2025-12-12 08:27:00	3370788	1	9	3	1,9,3	13	小	单	虎	1番	1
2025-12-12 08:30:30	3370789	0	0	4	0,0,4	4	小	双	虎	4番	4
2025-12-12 08:34:00	3370790	6	9	7	6,9,7	22	大	双	虎	2番	2
2025-12-12 08:37:30	3370791	4	0	9	4,0,9	13	小	单	虎	1番	1
2025-12-12 08:41:00	3370792	2	7	7	2,7,7	16	大	双	虎	4番	4
2025-12-12 08:44:30	3370793	9	7	6	9,7,6	22	大	双	龙	2番	2
2025-12-12 08:48:00	3370794	1	9	2	1,9,2	12	小	双	虎	4番	4
2025-12-12 08:51:30	3370795	8	0	7	8,0,7	15	大	单	龙	3番	3
2025-12-12 08:55:00	3370796	5	3	2	5,3,2	10	小	双	龙	2番	2
2025-12-12 08:58:30	3370797	7	4	0	7,4,0	11	小	单	龙	3番	3
2025-12-12 09:02:00	3370798	5	6	3	5,6,3	14	大	双	龙	2番	2
2025-12-12 09:05:30	3370799	9	5	7	9,5,7	21	大	单	龙	1番	1
2025-12-12 09:09:00	3370800	2	3	7	2,3,7	12	小	双	虎	4番	4
2025-12-12 09:12:30	3370801	0	7	1	0,7,1	8	小	双	虎	4番	4
2025-12-12 09:16:00	3370802	8	4	9	8,4,9	21	大	单	虎	1番	1
2025-12-12 09:19:30	3370803	1	6	4	1,6,4	11	小	单	虎	3番	3
2025-12-12 09:23:00	3370804	8	3	6	8,3,6	17	大	单	龙	1番	1
2025-12-12 09:26:30	3370805	5	0	4	5,0,4	9	小	单	龙	1番	1
2025-12-12 09:30:00	3370806	9	3	9	9,3,9	21	大	单	和	1番	1
2025-12-12 09:33:30	3370807	2	2	3	2,2,3	7	小	单	虎	3番	3
2025-12-12 09:37:00	3370808	2	2	2	2,2,2	6	小	双	和	2番	2
2025-12-12 09:40:30	3370809	6	6	1	6,6,1	13	小	单	龙	1番	1
2025-12-12 09:44:00	3370810	5	7	6	5,7,6	18	大	双	虎	2番	2
2025-12-12 09:47:30	3370811	0	4	3	0,4,3	7	小	单	虎	3番	3
2025-12-12 09:51:00	3370812	2	8	9	2,8,9	19	大	单	虎	3番	3
2025-12-12 09:54:30	3370813	3	3	7	3,3,7	13	小	单	虎	1番	1
2025-12-12 09:58:00	3370814	6	9	9	6,9,9	24	大	双	虎	4番	4
2025-12-12 10:01:30	3370815	8	9	0	8,9,0	17	大	单	龙	1番	1
2025-12-12 10:05:00	3370816	0	0	3	0,0,3	3	小	单	虎	3番	3
2025-12-12 10:08:30	3370817	8	6	7	8,6,7	21	大	单	龙	1番	1
2025-12-12 10:12:00	3370818	0	6	8	0,6,8	14	大	双	虎	2番	2
2025-12-12 10:15:30	3370819	9	9	1	9,9,1	19	大	单	龙	3番	3
2025-12-12 10:19:00	3370820	9	4	2	9,4,2	15	大	单	龙	3番	3
2025-12-12 10:22:30	3370821	8	2	3	8,2,3	13	小	单	龙	1番	1
2025-12-12 10:26:00	3370822	8	9	4	8,9,4	21	大	单	龙	1番	1
2025-12-12 10:29:30	3370823	0	6	2	0,6,2	8	小	双	虎	4番	4
2025-12-12 10:33:00	3370824	4	2	4	4,2,4	10	小	双	和	2番	2
2025-12-12 10:36:30	3370825	2	0	2	2,0,2	4	小	双	和	4番	4
2025-12-12 10:40:00	3370826	5	7	8	5,7,8	20	大	双	虎	4番	4
2025-12-12 10:43:30	3370827	0	4	3	0,4,3	7	小	单	虎	3番	3
2025-12-12 10:47:00	3370828	9	4	4	9,4,4	17	大	单	龙	1番	1
2025-12-12 10:50:30	3370829	0	6	9	0,6,9	15	大	单	虎	3番	3
2025-12-12 10:54:00	3370830	8	6	1	8,6,1	15	大	单	龙	3番	3
2025-12-12 10:57:30	3370831	4	2	4	4,2,4	10	小	双	和	2番	2
2025-12-12 11:01:00	3370832	4	6	4	4,6,4	14	大	双	和	2番	2
2025-12-12 11:04:30	3370833	1	1	9	1,1,9	11	小	单	虎	3番	3
2025-12-12 11:08:00	3370834	2	9	8	2,9,8	19	大	单	虎	3番	3
2025-12-12 11:11:30	3370835	3	1	2	3,1,2	6	小	双	龙	2番	2
2025-12-12 11:15:00	3370836	6	4	3	6,4,3	13	小	单	龙	1番	1
2025-12-12 11:18:30	3370837	9	8	4	9,8,4	21	大	单	龙	1番	1
2025-12-12 11:22:00	3370838	8	2	0	8,2,0	10	小	双	龙	2番	2
2025-12-12 11:25:30	3370839	7	8	8	7,8,8	23	大	单	虎	3番	3
2025-12-12 11:29:00	3370840	4	3	3	4,3,3	10	小	双	龙	2番	2
2025-12-12 11:32:30	3370841	0	9	4	0,9,4	13	小	单	虎	1番	1
2025-12-12 11:36:00	3370842	7	9	4	7,9,4	20	大	双	龙	4番	4
2025-12-12 11:39:30	3370843	7	2	5	7,2,5	14	大	双	龙	2番	2
2025-12-12 11:43:00	3370844	2	8	0	2,8,0	10	小	双	龙	2番	2
